date,city,team1,team2,toss,decision,venue,result,winner,mom,match_no
2009-05-12,Centurion,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,SuperSport Park,1.0,Royal Challengers Bangalore,LRPL Taylor,98.0
2009-05-13,Durban,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,Kingsmead,1.0,Delhi Daredevils,R Bhatia,99.0
2009-05-14,Durban,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,1.0,Rajasthan Royals,SK Warne,100.0
2009-05-14,Durban,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,1.0,Royal Challengers Bangalore,LRPL Taylor,101.0
2009-05-15,Bloemfontein,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,OUTsurance Oval,1.0,Kings XI Punjab,B Lee,102.0
2009-05-16,Port Elizabeth,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,1.0,Chennai Super Kings,ML Hayden,103.0
2009-05-16,Johannesburg,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,New Wanderers Stadium,1.0,Deccan Chargers,RG Sharma,104.0
2009-05-17,Bloemfontein,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,OUTsurance Oval,1.0,Delhi Daredevils,AB de Villiers,105.0
2009-05-17,Johannesburg,Deccan Chargers,Kings XI Punjab,Deccan Chargers,field,New Wanderers Stadium,1.0,Kings XI Punjab,Yuvraj Singh,106.0
2009-05-18,Centurion,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,1.0,Kolkata Knight Riders,BJ Hodge,107.0
2009-05-19,Johannesburg,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,New Wanderers Stadium,1.0,Royal Challengers Bangalore,JH Kallis,108.0
2009-05-20,Durban,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,1.0,Kolkata Knight Riders,LR Shukla,109.0
2009-05-20,Durban,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kingsmead,1.0,Chennai Super Kings,M Muralitharan,110.0
2009-05-21,Centurion,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,SuperSport Park,1.0,Royal Challengers Bangalore,MK Pandey,111.0
2009-05-21,Centurion,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,SuperSport Park,1.0,Delhi Daredevils,V Sehwag,112.0
2009-05-22,Centurion,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,SuperSport Park,1.0,Deccan Chargers,AC Gilchrist,113.0
2009-05-23,Johannesburg,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,New Wanderers Stadium,1.0,Royal Challengers Bangalore,MK Pandey,114.0
2009-05-24,Johannesburg,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,field,New Wanderers Stadium,1.0,Deccan Chargers,A Kumble,115.0
2010-03-12,Mumbai,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,Dr DY Patil Sports Academy,1.0,Kolkata Knight Riders,AD Mathews,116.0
2010-03-13,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,"Punjab Cricket Association Stadium, Mohali",1.0,Delhi Daredevils,G Gambhir,117.0
2010-03-13,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,1.0,Mumbai Indians,YK Pathan,118.0
2010-03-14,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,"MA Chidambaram Stadium, Chepauk",1.0,Deccan Chargers,WPUJC Vaas,119.0
2010-03-14,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Eden Gardens,1.0,Kolkata Knight Riders,MK Tiwary,120.0
2010-03-15,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,"Sardar Patel Stadium, Motera",1.0,Delhi Daredevils,V Sehwag,121.0
2010-03-16,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,JH Kallis,122.0
2010-03-16,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,1.0,Chennai Super Kings,MS Dhoni,123.0
2010-03-17,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla,1.0,Mumbai Indians,SR Tendulkar,124.0
2010-03-18,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,JH Kallis,125.0
2010-03-19,Delhi,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Feroz Shah Kotla,1.0,Chennai Super Kings,ML Hayden,126.0
2010-03-19,Cuttack,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Barabati Stadium,1.0,Deccan Chargers,A Symonds,127.0
2010-03-20,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,AA Jhunjhunwala,128.0
2010-03-20,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Brabourne Stadium,1.0,Royal Challengers Bangalore,JH Kallis,129.0
2010-03-21,Cuttack,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Barabati Stadium,1.0,Deccan Chargers,A Symonds,130.0
2010-03-21,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",2.0,Kings XI Punjab,J Theron,131.0
